EX,NR_JOBS,NR_MACHINES,NR_VEHICLES,COMPUTATION TIME,SOLVE STATUS,OBJECTIVE
EX011,7,9,2,3.345137119293213,Optimal,134
EX021,6,9,2,2.6716911792755127,Optimal,114
EX031,6,9,2,0.2842140197753906,Optimal,120
EX041,5,9,2,3.3646559715270996,Optimal,114
EX051,5,9,2,0.09809398651123047,Optimal,94
EX061,6,9,2,2.720611810684204,Optimal,138
EX071,8,9,2,19.447241067886353,Optimal,108
EX081,6,9,2,1.5273559093475342,Optimal,178
EX091,5,9,2,1.3969528675079346,Optimal,144
EX101,6,9,2,10.974508047103882,Optimal,174
